Date,Open,High,Low,Close,Forecast
1994-04-10,105.14,105.23,102.6,103.53,0
1994-04-17,103.24,104.08,102.48,103.2,-1
1994-04-24,103.0,103.55,100.55,101.6,-1
1994-05-01,101.85,103.28,100.65,102.41,0
1994-05-08,102.55,105.15,102.2,105.1,0
1994-05-15,105.13,105.25,103.3,104.2,0
1994-05-22,104.12,104.96,103.65,104.28,0
1994-05-29,104.36,105.5,104.19,105.4,0
1994-06-05,105.33,105.53,103.4,103.53,0
1994-06-12,103.48,103.83,102.3,102.77,-1
1994-06-19,102.65,102.73,99.85,100.5,-1
1994-06-26,100.15,100.77,97.6,98.75,-1
1994-07-03,98.59,99.71,97.75,98.07,-1
1994-07-10,98.27,98.7,96.45,97.85,-1
1994-07-17,97.61,99.6,97.6,98.95,0
1994-07-24,98.6,100.63,97.65,100.09,0
1994-07-31,98.5,100.9,98.3,100.25,0
1994-08-07,100.11,101.82,99.6,100.15,0
1994-08-14,100.01,101.05,98.05,98.7,-1
1994-08-21,98.6,100.81,97.5,100.41,0
1994-08-28,100.22,100.62,98.95,99.12,0
1994-09-04,99.21,99.72,98.45,99.19,-1
1994-09-11,99.15,99.52,98.3,98.95,0
1994-09-18,98.88,98.93,97.5,97.9,0
1994-09-25,97.75,99.35,97.58,99.25,0
1994-10-02,98.69,100.78,98.3,100.6,0
1994-10-09,100.67,100.77,98.0,98.23,0
1994-10-16,98.28,98.57,96.5,97.2,-1
1994-10-23,97.24,97.57,96.35,97.35,0
1994-10-30,97.39,98.28,96.0,97.47,0
1994-11-06,97.41,98.22,96.75,97.72,0
1994-11-13,97.66,98.82,97.6,98.57,0
1994-11-20,98.6,98.82,97.8,98.78,0
1994-11-27,98.72,100.67,98.38,100.55,0
1994-12-04,100.46,100.76,99.55,100.12,0
1994-12-11,100.13,100.54,99.75,100.22,0
1994-12-18,100.25,100.65,100.05,100.12,0
1994-12-25,100.1,100.57,98.6,99.75,0
1995-01-01,99.55,101.47,99.55,101.32,0
1995-01-08,101.25,101.4,98.25,98.6,0
1995-01-15,98.56,100.07,97.97,99.42,0
1995-01-22,99.38,100.22,99.0,99.39,0
1995-01-29,99.34,99.9,98.1,99.85,0
1995-02-05,99.72,99.75,98.6,98.94,0
1995-02-12,98.75,99.04,96.9,97.29,-1
1995-02-19,97.08,97.68,96.3,97.0,-1
1995-02-26,97.33,97.55,93.65,94.15,0
