Date,Open,High,Low,Close,Forecast
1996-02-18,1.176,1.1875,1.1705,1.176,0
1996-02-25,1.174,1.2087,1.172,1.204,0
1996-03-03,1.2,1.2091,1.194,1.2027,1
1996-03-10,1.2045,1.2059,1.182,1.1865,0
1996-03-17,1.1875,1.199,1.183,1.1935,0
1996-03-24,1.193,1.2023,1.1824,1.1895,0
1996-03-31,1.191,1.1984,1.19,1.1947,0
1996-04-07,1.1975,1.2289,1.188,1.2285,0
1996-04-14,1.23,1.2356,1.212,1.228,0
1996-04-21,1.2297,1.2406,1.225,1.2348,1
1996-04-28,1.2323,1.2576,1.2259,1.242,0
1996-05-05,1.241,1.2492,1.2303,1.2485,0
1996-05-12,1.2477,1.2622,1.2445,1.2618,1
1996-05-19,1.261,1.2736,1.2574,1.2665,1
1996-05-26,1.2655,1.2754,1.2459,1.2485,0
1996-06-02,1.2482,1.27,1.2425,1.2698,0
1996-06-09,1.2688,1.2712,1.241,1.2561,0
1996-06-16,1.2548,1.2682,1.243,1.2675,0
1996-06-23,1.2643,1.2674,1.246,1.2545,0
1996-06-30,1.2556,1.2664,1.248,1.262,0
1996-07-07,1.262,1.2664,1.252,1.2597,0
1996-07-14,1.2593,1.2617,1.203,1.215,0
1996-07-21,1.2193,1.2222,1.198,1.2094,-1
1996-07-28,1.2083,1.2107,1.1838,1.2009,-1
1996-08-04,1.201,1.2155,1.19,1.2025,0
1996-08-11,1.2015,1.2133,1.196,1.2097,0
1996-08-18,1.209,1.214,1.19,1.193,0
1996-08-25,1.1905,1.2048,1.1872,1.2016,0
1996-09-01,1.2015,1.2204,1.201,1.219,0
1996-09-08,1.2174,1.2454,1.213,1.2439,0
1996-09-15,1.2425,1.2481,1.2362,1.239,0
1996-09-22,1.2393,1.258,1.2245,1.256,0
1996-09-29,1.256,1.2597,1.248,1.2578,1
1996-10-06,1.2575,1.2585,1.2455,1.254,0
1996-10-13,1.254,1.2738,1.2513,1.2702,1
1996-10-20,1.2693,1.2725,1.2485,1.261,0
1996-10-27,1.2621,1.2783,1.246,1.2695,1
1996-11-03,1.2665,1.2853,1.2607,1.2656,0
1996-11-10,1.2638,1.2808,1.252,1.2792,0
1996-11-17,1.278,1.2788,1.2616,1.271,0
1996-11-24,1.2708,1.3073,1.27,1.3043,1
1996-12-01,1.3043,1.3335,1.2908,1.3155,1
1996-12-08,1.3162,1.3311,1.3045,1.3243,1
1996-12-15,1.3243,1.3415,1.316,1.334,1
1996-12-22,1.3325,1.352,1.3313,1.3485,1
1996-12-29,1.348,1.3639,1.3375,1.3587,1
1997-01-05,1.36,1.3788,1.3448,1.376,1
1997-01-12,1.3748,1.4005,1.3673,1.399,1
1997-01-19,1.399,1.4362,1.397,1.4057,1
1997-01-26,1.4075,1.4373,1.4075,1.4238,0
1997-02-02,1.4235,1.4465,1.4153,1.4275,1
1997-02-09,1.4145,1.4665,1.4145,1.464,0
1997-02-16,1.466,1.4912,1.4635,1.4715,1
1997-02-23,1.4685,1.4838,1.4516,1.4783,0
1997-03-02,1.48,1.4924,1.472,1.4798,0
1997-03-09,1.4785,1.48,1.447,1.456,0
1997-03-16,1.455,1.4627,1.428,1.457,0
1997-03-23,1.4571,1.4703,1.4455,1.4512,0
1997-03-30,1.449,1.4533,1.426,1.4425,0
1997-04-06,1.442,1.483,1.4418,1.461,0
1997-04-13,1.463,1.4747,1.4545,1.457,0
1997-04-20,1.454,1.4708,1.4392,1.469,0
1997-04-27,1.47,1.479,1.463,1.4712,1
1997-05-04,1.471,1.478,1.4193,1.4235,0
1997-05-11,1.4213,1.4489,1.41,1.42,-1
1997-05-18,1.419,1.4312,1.375,1.4035,-1
1997-05-25,1.3975,1.4265,1.388,1.4145,0
1997-06-01,1.4123,1.463,1.4123,1.4497,0
1997-06-08,1.45,1.451,1.4277,1.4435,0
1997-06-15,1.4435,1.452,1.4343,1.4405,0
1997-06-22,1.4428,1.457,1.428,1.4555,0
1997-06-29,1.4555,1.4738,1.4513,1.4699,0
1997-07-06,1.4685,1.4695,1.4456,1.468,0
1997-07-13,1.467,1.4857,1.4635,1.4735,0
1997-07-20,1.4722,1.5187,1.4708,1.516,0
1997-07-27,1.5165,1.53,1.5058,1.526,1
1997-08-03,1.5272,1.5392,1.497,1.5115,0
1997-08-10,1.5092,1.5302,1.496,1.5025,0
1997-08-17,1.498,1.5276,1.4893,1.5025,0
1997-08-24,1.5026,1.5038,1.477,1.4925,0
1997-08-31,1.4935,1.51,1.4704,1.4783,0
1997-09-07,1.476,1.4928,1.4618,1.4634,0
1997-09-14,1.4668,1.4693,1.441,1.4621,-1
1997-09-21,1.462,1.4777,1.4405,1.451,0
1997-09-28,1.4515,1.4628,1.443,1.447,-1
1997-10-05,1.446,1.4597,1.4365,1.4585,0
1997-10-12,1.459,1.4777,1.4514,1.4735,0
1997-10-19,1.475,1.4907,1.4605,1.4646,0
1997-10-26,1.464,1.4647,1.3896,1.4002,-1
1997-11-02,1.401,1.4208,1.3823,1.3915,-1
1997-11-09,1.3915,1.4081,1.383,1.4035,0
1997-11-16,1.4057,1.4246,1.399,1.41,0
1997-11-23,1.4102,1.4295,1.3962,1.4261,0
1997-11-30,1.4245,1.4416,1.422,1.44,0
1997-12-07,1.4445,1.4633,1.4218,1.4365,0
1997-12-14,1.435,1.4443,1.4222,1.435,0
1997-12-21,1.4339,1.4415,1.4287,1.4333,0
1997-12-28,1.4325,1.4694,1.43,1.465,0
1998-01-04,1.4628,1.4872,1.4575,1.477,1
1998-01-11,1.4778,1.5001,1.4674,1.4977,1
1998-01-18,1.496,1.506,1.4355,1.4397,0
1998-01-25,1.4355,1.4828,1.42,1.4768,0
1998-02-01,1.4795,1.4875,1.44,1.458,0
1998-02-08,1.4618,1.4707,1.4488,1.4607,0
1998-02-15,1.4612,1.476,1.457,1.4675,1
1998-02-22,1.47,1.4787,1.4445,1.4665,0
1998-03-01,1.465,1.4985,1.455,1.491,1
1998-03-08,1.487,1.4971,1.472,1.4755,0
1998-03-15,1.473,1.5015,1.4725,1.4985,0
1998-03-22,1.498,1.5001,1.4846,1.4965,0
1998-03-29,1.496,1.537,1.4935,1.5267,0
1998-04-05,1.5248,1.5319,1.5035,1.5152,0
1998-04-12,1.513,1.519,1.4855,1.501,0
1998-04-19,1.5005,1.5045,1.476,1.491,0
1998-04-26,1.4935,1.5035,1.4825,1.492,0
1998-05-03,1.4935,1.4943,1.4633,1.4808,0
1998-05-10,1.479,1.4907,1.4716,1.487,0
1998-05-17,1.4862,1.492,1.46,1.4635,0
1998-05-24,1.462,1.4863,1.4534,1.483,0
1998-05-31,1.4832,1.4849,1.4638,1.4775,0
1998-06-07,1.4765,1.501,1.4725,1.4977,0
1998-06-14,1.4975,1.5122,1.4836,1.498,0
1998-06-21,1.4975,1.5307,1.4947,1.5275,0
1998-06-28,1.529,1.5359,1.5126,1.53,1
1998-07-05,1.532,1.5473,1.5188,1.5365,1
1998-07-12,1.539,1.5427,1.4993,1.5025,0
1998-07-19,1.5005,1.517,1.4912,1.496,0
1998-07-26,1.4945,1.5062,1.4752,1.489,0
1998-08-02,1.488,1.5044,1.483,1.4955,0
1998-08-09,1.4958,1.5127,1.48,1.5072,0
1998-08-16,1.504,1.5145,1.4968,1.5025,0
1998-08-23,1.5022,1.5068,1.4375,1.4405,0
1998-08-30,1.439,1.4619,1.4089,1.425,-1
1998-09-06,1.421,1.4328,1.3707,1.3913,-1
1998-09-13,1.3942,1.4069,1.3754,1.394,-1
1998-09-20,1.3953,1.405,1.3678,1.3863,0
1998-09-27,1.3894,1.3962,1.3422,1.3555,0
1998-10-04,1.3525,1.3581,1.2734,1.3215,-1
1998-10-11,1.323,1.3428,1.3035,1.3192,0
1998-10-18,1.316,1.3597,1.3115,1.339,0
1998-10-25,1.3395,1.3634,1.3338,1.3512,0
1998-11-01,1.35,1.3815,1.3424,1.378,0
1998-11-08,1.3775,1.4015,1.3768,1.3883,0
1998-11-15,1.386,1.396,1.366,1.3935,0
1998-11-22,1.3935,1.4155,1.392,1.4123,1
1998-11-29,1.4102,1.4135,1.3546,1.3675,0
1998-12-06,1.369,1.3797,1.3248,1.3285,0
1998-12-13,1.3245,1.3535,1.3212,1.3483,0
1998-12-20,1.346,1.3767,1.341,1.3742,0
1998-12-27,1.373,1.3864,1.3594,1.374,1
1999-01-03,1.3707,1.3995,1.356,1.3945,0
1999-01-10,1.394,1.4053,1.3392,1.384,0
1999-01-17,1.381,1.3931,1.3716,1.3817,1
1999-01-24,1.382,1.4205,1.3732,1.4153,0
1999-01-31,1.414,1.4255,1.4056,1.4218,1
1999-02-07,1.42,1.428,1.403,1.414,0
1999-02-14,1.4143,1.4498,1.4135,1.4455,0
1999-02-21,1.4465,1.4593,1.4328,1.447,1
1999-02-28,1.4475,1.4751,1.4451,1.4687,1
1999-03-07,1.47,1.4773,1.4477,1.466,0
1999-03-14,1.4655,1.4767,1.4437,1.4664,1
1999-03-21,1.466,1.4869,1.4512,1.4795,1
1999-03-28,1.4808,1.4929,1.4742,1.4805,0
1999-04-04,1.4802,1.4913,1.4673,1.4834,0
1999-04-11,1.4793,1.5067,1.4724,1.4966,0
1999-04-18,1.4985,1.516,1.495,1.5088,1
1999-04-25,1.5095,1.5272,1.5026,1.524,1
1999-05-02,1.521,1.5267,1.4836,1.4949,0
1999-05-09,1.4965,1.5105,1.4849,1.5027,0
1999-05-16,1.503,1.5213,1.496,1.5165,1
1999-05-23,1.519,1.5312,1.4972,1.528,1
1999-05-30,1.523,1.5445,1.519,1.5321,1
1999-06-06,1.5328,1.545,1.5113,1.5164,0
1999-06-13,1.518,1.5525,1.5177,1.5375,0
1999-06-20,1.538,1.5548,1.5248,1.5331,0
1999-06-27,1.536,1.5728,1.5299,1.5678,0
1999-07-04,1.5665,1.5802,1.5612,1.5757,1
1999-07-11,1.5749,1.5897,1.5653,1.5749,0
1999-07-18,1.5772,1.587,1.5192,1.527,0
1999-07-25,1.5258,1.5271,1.4847,1.4906,0
1999-08-01,1.493,1.5046,1.4764,1.4897,-1
1999-08-08,1.49,1.5181,1.4854,1.5157,0
1999-08-15,1.5149,1.529,1.4933,1.495,0
1999-08-22,1.4953,1.5396,1.4948,1.5282,0
1999-08-29,1.529,1.5347,1.4878,1.507,0
1999-09-05,1.511,1.5522,1.5009,1.5507,0
1999-09-12,1.5519,1.5594,1.529,1.541,0
1999-09-19,1.54,1.5527,1.5184,1.5339,0
1999-09-26,1.533,1.5418,1.4798,1.4847,0
1999-10-03,1.4863,1.5052,1.4723,1.501,0
1999-10-10,1.5012,1.5039,1.4532,1.4561,0
1999-10-17,1.4581,1.5011,1.4549,1.4953,0
1999-10-24,1.4943,1.5361,1.4928,1.521,0
1999-10-31,1.5205,1.5592,1.5134,1.548,1
1999-11-07,1.548,1.5622,1.5367,1.5568,1
1999-11-14,1.5555,1.5643,1.5337,1.5557,1
1999-11-21,1.556,1.5879,1.5476,1.5776,1
1999-11-28,1.578,1.6007,1.57,1.5913,1
1999-12-05,1.5904,1.5956,1.5521,1.5813,0
1999-12-12,1.5803,1.5982,1.5638,1.5896,1
1999-12-19,1.589,1.5943,1.5741,1.5859,0
1999-12-26,1.585,1.602,1.5802,1.5907,1
2000-01-02,1.594,1.5978,1.542,1.5648,0
2000-01-09,1.5633,1.5959,1.5518,1.5925,0
2000-01-16,1.5943,1.6033,1.5802,1.5962,1
2000-01-23,1.6055,1.6544,1.5955,1.6498,1
2000-01-30,1.6471,1.6622,1.6158,1.6345,0
2000-02-06,1.6325,1.6466,1.6145,1.6263,0
2000-02-13,1.6245,1.6451,1.6108,1.627,0
2000-02-20,1.6275,1.6539,1.594,1.6503,0
2000-02-27,1.6505,1.6751,1.6418,1.6738,1
2000-03-05,1.6772,1.6867,1.6562,1.6714,0
2000-03-12,1.672,1.6789,1.6532,1.6585,0
2000-03-19,1.6566,1.6824,1.6231,1.6244,0
2000-03-26,1.6232,1.6804,1.6212,1.6646,0
2000-04-02,1.6625,1.6722,1.6102,1.6435,0
2000-04-09,1.644,1.6555,1.629,1.6313,0
2000-04-16,1.631,1.6811,1.62,1.6753,0
2000-04-23,1.675,1.739,1.662,1.7172,1
2000-04-30,1.717,1.7436,1.7049,1.7295,1
2000-05-07,1.73,1.7377,1.6892,1.6924,0
2000-05-14,1.6926,1.754,1.6917,1.7271,0
2000-05-21,1.7286,1.7341,1.6754,1.6815,0
2000-05-28,1.6695,1.6978,1.658,1.6634,0
2000-06-04,1.6642,1.6716,1.6176,1.642,0
2000-06-11,1.6415,1.6486,1.6152,1.6173,-1
2000-06-18,1.6182,1.661,1.6101,1.6576,0
2000-06-25,1.6563,1.6652,1.6232,1.6344,0
2000-07-02,1.635,1.641,1.6138,1.6275,-1
2000-07-09,1.6265,1.664,1.6194,1.6512,0
